Tag No.,"Mon
Sex",Tagger,Where Tagged,"Date
Tagged","Date
Recovered","Where
Recovered","Observed or
Reported by",,"Inter-
val",,"Est.
istance",,
IV 301,M,"Linnea Evans/Kevin Young
Kenyon-Wanamingo M. S.","Wanamingo,
MN",9/4/96,3/4/97,"Sierra Chincua,
Mexico","Lincoln
Brower",,mo,,760 m,,
MC 648,M,Gary Cadogan,"Mt. Carroll, IL",9/30/96,Feb. 97,"El Rosario,
Mexico","Don Davis/
Leonard
Hooton",,mo,,660 m,,
EB 370,F,"Aaron Wurtz/T. Callender
Wamego High School","Wamego, KS",9/18/96,Feb. 97,"El Rosario,
Mexico","David
Marriott",,mo,,375 m,,
MK 276,F,"Billy Dreball/T. Callender
Wamego High School","Wamego, KS",9/14/96,Feb. 97,"La Herrada,
Mexico","David
Marriott",,mo,,375 m,,
KN 176,F,"Melissa Brooks/T. Callender
Wamego High School","Wamego, KS",9/12/96,3/10/97,"El Rosario,
Mexico",Amma Szal,,mo,,375 m,,
JS 252,F,"Paul Sheets/Randy Warner
Frontier Trail Jr. High","Olathe, KS",9/24/96,Mar. 97,"Sierra Chincua,
Mexico",Bill Calvert,,mo,,370 m,,
BP144,F,"F. Northam/Donna Cooper
Hays High School","Hays, KS",9/18/95,Feb. 96,"El Rosario,
Mexico","David
Marriott",,mo,,340 m,,
DY663,F,"Mary Moreira
Windom Open School","Minneapolis,
MN",9/16/96,10/23/96,"Mathis, TX","Mr. & Mrs
Wayne Hollar",,7 d,,191 m,,
JA714,F,Darrell Anderson,"Claremore, OK",9/30/96,Mar. 97,"El Rosario,
Mexico","Len
Wassenaar",,mo,,190 m,,
DJ 274,M,"Janice Catledge
Alice Harte Elementary","New Orleans,
LA",10/2/96,Feb. 97,"El Rosario,
Mexico","David
Marriott",,mo,,50 m,,
JZ 511,F,"Marcia Whitmore
C.R. Hanna Elem. (5th)","Orion, IL",9/9/96,10/12/96,"Abilene, TX",Joel Lambert,,3 d,,02 m,,
EY996,?,Gary Cadogan,"Clinton, IA",10/12/96,11/5/96,"Coward, SC","Ralph
Matthews",,4 d,,86 m,,
