,Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
0,RN109,PA,1997-09-16,MICH,MEXICO,1998-03-01,1995.0
1,NT910,ND,1997-08-30,MICH,MEXICO,1998-03-01,1909.0
2,PB278,MI,1997-09-05,MICH,MEXICO,1998-03-01,1826.0
3,NH341,MN,1997-09-01,MICH,MEXICO,1998-03-01,1788.0
4,SA533,OH,1997-09-12,MICH,MEXICO,1998-02-01,1787.0
5,NH514,MN,1997-09-05,MICH,MEXICO,1998-03-01,1744.0
6,MS424,MN,1997-09-06,MICH,MEXICO,1998-03-01,1744.0
7,OE242,IA,1997-08-31,MICH,MEXICO,1998-03-01,1717.0
8,NB564,IA,1997-10-13,MICH,MEXICO,1998-03-10,1653.0
9,NB348,IA,1997-09-17,MICH,MEXICO,1998-03-01,1596.0
10,MZ872,IA,1997-09-02,MICH,MEXICO,1998-03-01,1584.0
11,OL737,NE,1997-09-11,MICH,MEXICO,1998-03-01,1456.0
12,RF698,KS,1997-10-04,MICH,MEXICO,1998-01-01,1390.0
13,SC453,KS,1997-09-24,MICH,MEXICO,1998-03-01,1382.0
14,RB099,KS,1997-09-12,MICH,MEXICO,1998-03-01,1375.0
15,SZ544,KS,1997-09-16,MICH,MEXICO,1998-03-01,1375.0
16,RD332,KS,1997-09-12,MICH,MEXICO,1998-03-01,1375.0
17,RQ219,KS,1997-09-16,MICH,MEXICO,1998-03-01,1371.0
18,RQ208,KS,1997-09-11,MICH,MEXICO,1998-03-01,1371.0
19,RP683,KS,1997-09-12,MICH,MEXICO,1998-01-01,1371.0
20,SD021,KS,1997-09-12,MICH,MEXICO,1998-03-01,1370.0
21,TN186,KS,1997-09-20,MICH,MEXICO,1998-03-01,1370.0
22,PN968,KS,1997-09-09,MICH,MEXICO,1998-03-01,1370.0
23,NB756,KS,1997-09-15,MICH,MEXICO,1998-03-01,1370.0
24,PN496,KS,1997-09-16,MICH,MEXICO,1998-03-01,1345.0
25,PO226,KS,1997-09-13,MICH,MEXICO,1998-03-01,1335.0
26,PO275,KS,1997-09-13,MICH,MEXICO,1998-03-10,1335.0
27,PS574,KS,1997-09-26,MICH,MEXICO,1998-03-01,1307.0
28,QY430,KS,1997-09-15,MICH,MEXICO,1998-02-01,1301.0
29,QX733,KS,1997-09-22,MICH,MEXICO,1998-03-01,1301.0
30,QY293,KS,1997-09-17,MICH,MEXICO,1998-02-24,1301.0
31,QX976,KS,1997-09-22,MICH,MEXICO,1998-03-01,1301.0
