Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
972GM,ME,1999-08-19,Michoacán,MEXICO,2000-02-01,2421.0
097KD,MA,1999-09-12,Michoacán,MEXICO,2000-01-28,2344.0
575NE,VT,1999-09-20,Michoacán,MEXICO,2000-03-01,2320.0
813GR,NY,1999-09-24,Michoacán,MEXICO,2000-01-14,2258.0
117JG,MA,1999-09-01,Michoacán,MEXICO,2000-02-01,2255.0
007GO,CT,1999-09-16,Michoacán,MEXICO,2000-03-01,2242.0
476KX,CT,1999-09-26,Michoacán,MEXICO,2000-03-01,2221.0
957GQ,NY,1999-09-14,Michoacán,MEXICO,2000-01-28,2136.0
421MU,NY,1999-09-21,Michoacán,MEXICO,2000-01-28,2130.0
448MU,NY,1999-09-21,Michoacán,MEXICO,2000-02-01,2130.0
249KF,ONT,1999-09-05,Michoacán,MEXICO,2000-01-09,2128.0
418KF,ONT,1999-09-06,Michoacán,MEXICO,2000-02-21,2128.0
DX200,ONT,1999-09-11,Michoacán,MEXICO,2000-01-09,2128.0
873KU,ONT,1999-09-21,Michoacán,MEXICO,2000-01-28,2128.0
925KU,ONT,1999-09-21,Michoacán,MEXICO,2000-03-01,2128.0
657MI,NJ,1999-09-28,Michoacán,MEXICO,2000-03-01,2109.0
409GC,NY,1999-11-17,Michoacán,MEXICO,2000-03-02,2089.0
833KF,ONT,1999-09-12,Michoacán,MEXICO,2000-01-09,2083.0
732KF,ONT,1999-09-12,Michoacán,MEXICO,2000-01-11,2083.0
579KF,ONT,1999-09-12,Michoacán,MEXICO,2000-01-26,2083.0
670NQ,NJ,1999-09-29,Michoacán,MEXICO,2000-01-09,2080.0
946KF,ONT,1999-09-18,Michoacán,MEXICO,2000-01-14,2053.0
356KM,ONT,1999-09-12,Michoacán,MEXICO,2000-03-01,2053.0
718NW,PA,1999-10-16,Michoacán,MEXICO,2000-05-01,2019.0
565JQ,PA,1999-09-19,Michoacán,MEXICO,2000-01-11,2018.0
044KO,PA,1999-09-19,Michoacán,MEXICO,2000-02-21,2016.0
366JN,PA,1999-09-13,Michoacán,MEXICO,2000-03-01,2012.0
577JQ,PA,1999-09-20,Michoacán,MEXICO,2000-03-08,2010.0
799JN,PA,1999-09-06,Michoacán,MEXICO,2000-03-08,2009.0
393KP,PA,1999-09-04,Michoacán,MEXICO,2000-02-01,2008.0
723JM,ONT,1999-09-03,Michoacán,MEXICO,2000-01-14,2006.0
026JN,ONT,1999-09-11,Michoacán,MEXICO,2000-03-02,2006.0
072JN,ONT,1999-09-25,Michoacán,MEXICO,2000-03-01,2006.0
748KH,PA,1999-09-15,Michoacán,MEXICO,2000-01-09,2002.0
164JT,MI,1999-09-08,Michoacán,MEXICO,2000-01-14,2000.0
254FD,MN,1999-09-17,Michoacán,MEXICO,2000-01-09,1999.0
314GA,MI,1999-08-26,Michoacán,MEXICO,2000-01-14,1995.0
PG675,NY,1997-09-14,Michoacán,MEXICO,2000-02-22,1993.0
816GT,NY,1999-09-12,Michoacán,MEXICO,2000-01-14,1993.0
848GT,NY,1999-09-18,Michoacán,MEXICO,2000-03-02,1993.0
504GT,NY,1999-09-19,Michoacán,MEXICO,2000-05-01,1993.0
888KM,PA,1999-09-10,Michoacán,MEXICO,2000-01-09,1992.0
