,Tag No.,Tagged State,Tagged Date,Reported State,Reported Country,Reported Date,Miles
0,AAD929,MA,2001-09-12,MICH,MEXICO,2002-02-11,2344.0
1,AAD844,MA,2001-09-12,MICH,MEXICO,2002-03-08,2343.0
2,AIO261,NY,2001-09-24,MICH,MEXICO,2002-03-13,2329.0
3,AAU820,NY,2001-08-29,MICH,MEXICO,2002-02-27,2315.0
4,ABG581,NY,2001-09-16,MICH,MEXICO,2002-03-13,2303.0
5,ABG221,NY,2001-09-08,MICH,MEXICO,2002-02-26,2303.0
6,ABG174,NY,2001-09-06,MICH,MEXICO,2002-02-20,2303.0
7,ABG728,NY,2001-09-02,MICH,MEXICO,2002-03-12,2303.0
8,ABG152,NY,2001-09-04,MICH,MEXICO,2002-02-21,2303.0
9,AAE025,MA,2001-09-08,MICH,MEXICO,2002-01-11,2301.0
10,ABG242,NY,2001-09-09,MICH,MEXICO,2002-02-26,2299.0
11,ABG617,NY,2001-09-19,MICH,MEXICO,2002-03-03,2285.0
12,AAX153,NY,2001-08-21,MICH,MEXICO,2002-01-11,2257.0
13,AAS129,ONT,2001-09-04,MICH,MEXICO,2002-02-26,2251.0
14,AAS072,ONT,2001-09-04,MICH,MEXICO,2002-02-20,2251.0
15,AAR862,ONT,2001-09-02,MICH,MEXICO,2002-02-21,2251.0
16,AAR567,ONT,2001-09-01,MICH,MEXICO,2002-02-28,2251.0
17,AAR589,ONT,2001-09-01,MICH,MEXICO,2002-02-27,2251.0
18,AAR584,ONT,2001-09-01,MICH,MEXICO,2002-02-26,2251.0
19,AAR744,ONT,2001-09-01,MICH,MEXICO,2002-01-29,2251.0
20,MT128,ONT,1997-09-01,MICH,MEXICO,2002-02-26,2251.0
21,AAS065,ONT,2001-09-04,MICH,MEXICO,2002-03-06,2247.0
22,AAR830,ONT,2001-09-02,MICH,MEXICO,2002-02-26,2247.0
23,AAR768,ONT,2001-09-02,MICH,MEXICO,2002-02-20,2247.0
24,AAR646,ONT,2001-09-01,MICH,MEXICO,2002-03-06,2247.0
25,AFG021,CT,2001-09-05,MICH,MEXICO,2002-02-28,2219.0
26,AFF971,CT,2001-09-01,MICH,MEXICO,2002-03-06,2216.0
27,AAI814,CT,2001-09-15,MICH,MEXICO,2002-03-09,2209.0
28,AAI898,CT,2001-09-15,MICH,MEXICO,2002-02-26,2209.0
29,AAK352,CT,2001-08-21,MICH,MEXICO,2002-03-12,2206.0
30,AAI918,CT,,MICH,MEXICO,2002-01-08,2205.0
31,AAD362,CT,2001-09-02,MICH,MEXICO,2002-02-26,2197.0
32,AJD392,CT,2001-09-20,MICH,MEXICO,2002-02-28,2193.0
33,WK449,CT,1998-09-17,MICH,MEXICO,2002-01-06,2193.0
34,AAJ592,CT,2001-09-12,MICH,MEXICO,2002-02-18,2187.0
35,AAJ470,CT,2001-09-02,MICH,MEXICO,2002-01-20,2187.0
36,AAS029,ONT,2001-09-02,MICH,MEXICO,2002-03-13,2151.0
37,AAS041,ONT,2001-09-02,MICH,MEXICO,2002-02-27,2151.0
38,582MU,NY,1999-09-22,MICH,MEXICO,,2130.0
39,AIA547,NJ,2001-09-19,MICH,MEXICO,2002-03-03,2122.0
40,AAN142,NJ,2001-09-15,MICH,MEXICO,2002-03-12,2118.0
41,AIA612,NJ,2001-09-19,MICH,MEXICO,2002-03-12,2109.0
42,AIA387,NJ,2001-09-15,MICH,MEXICO,2002-03-12,2108.0
43,AEL031,NJ,,MICH,MEXICO,2002-03-04,2108.0
44,AIA257,NJ,2001-09-12,MICH,MEXICO,2002-03-06,2105.0
45,ADX830,ONT,2001-08-10,MICH,MEXICO,2002-03-19,2099.0
46,AAH634,ONT,2001-09-04,MICH,MEXICO,2002-01-21,2063.0
47,AHC542,PA,2001-09-10,MICH,MEXICO,2002-02-21,2054.0
48,185KW,ONT,2001-09-24,MICH,MEXICO,2002-02-13,2053.0
49,AAS632,ONT,2001-09-13,MICH,MEXICO,2002-03-12,2053.0
50,AAS549,ONT,2001-09-13,MICH,MEXICO,2002-03-04,2053.0
51,AAS457,ONT,2001-09-12,MICH,MEXICO,2002-03-12,2053.0
52,AAS333,ONT,2001-09-12,MICH,MEXICO,2002-03-09,2053.0
53,AAS321,ONT,2001-09-12,MICH,MEXICO,2002-03-09,2053.0
54,AAS449,ONT,2001-09-12,MICH,MEXICO,2002-02-20,2053.0
55,AAH585,ONT,2001-09-03,MICH,MEXICO,2002-03-13,2053.0
56,AHB774,PA,2001-09-08,MICH,MEXICO,2002-03-12,2053.0
57,262ZA,PA,2001-08-15,MICH,MEXICO,2002-01-21,2053.0
58,AAS525,ONT,2001-09-13,MICH,MEXICO,2002-03-06,2049.0
59,AAS167,ONT,2001-09-06,MICH,MEXICO,2002-03-06,2049.0
60,AJP928,PA,2001-09-22,MICH,MEXICO,2002-03-03,2035.0
61,ADX467,ND,2001-08-25,MICH,MEXICO,2002-03-03,2032.0
62,AGM463,ONT,2001-08-28,MICH,MEXICO,2002-02-18,2031.0
63,AGM417,ONT,2001-08-27,MICH,MEXICO,2002-02-26,2031.0
64,ABE204,PA,2001-09-30,MICH,MEXICO,2002-02-26,2029.0
65,AIJ705,NJ,2001-10-07,MICH,MEXICO,2002-01-21,2027.0
66,AFN683,PA,2001-08-16,MICH,MEXICO,2002-03-06,2026.0
67,ABG047,PA,2001-09-25,MICH,MEXICO,2002-02-21,2025.0
68,ABE515,PA,2001-09-15,MICH,MEXICO,2002-03-12,2024.0
69,AAH485,ONT,2001-09-01,MICH,MEXICO,2002-01-24,2018.0
70,ADX476,ND,2001-08-26,MICH,MEXICO,2002-01-06,2016.0
71,ABE763,PA,2001-10-03,MICH,MEXICO,2002-01-20,2009.0
72,AAI039,ONT,2001-09-12,MICH,MEXICO,2002-03-12,2006.0
73,ACF882,MI,2001-08-26,MICH,MEXICO,2002-03-06,1999.0
74,ACG114,MI,2001-08-16,MICH,MEXICO,2002-02-27,1995.0
75,ACG115,MI,2001-08-16,MICH,MEXICO,2002-02-18,1995.0
76,AAY137,NY,2001-09-04,MICH,MEXICO,2002-01-21,1993.0
77,ABD123,PA,2001-09-08,MICH,MEXICO,2002-02-26,1987.0
78,GH274,MI,2001-08-31,MICH,MEXICO,2002-01-06,1966.0
79,ACG309,MI,2001-08-13,MICH,MEXICO,2002-02-27,1962.0
80,ABI284,VA,2001-10-09,MICH,MEXICO,2002-03-01,1959.0
81,AHC814,MD,2001-09-25,MICH,MEXICO,2002-02-26,1951.0
82,AHC954,MD,2001-09-05,MICH,MEXICO,2002-03-04,1951.0
83,AIL755,MD,2001-09-16,MICH,MEXICO,2002-02-26,1950.0
84,ABI566,MD,2001-09-26,MICH,MEXICO,2002-03-04,1926.0
85,AIY200,MD,2001-09-21,MICH,MEXICO,2002-02-21,1926.0
86,ABI420,MD,2001-09-12,MICH,MEXICO,2002-01-20,1925.0
87,AIY240,MD,2001-09-22,MICH,MEXICO,2002-02-20,1923.0
88,ABI385,MD,2001-09-09,MICH,MEXICO,2002-02-27,1921.0
89,ABK225,DC,2001-09-19,MICH,MEXICO,2002-03-06,1920.0
90,ABA879,PA,2001-09-09,MICH,MEXICO,2002-02-26,1919.0
91,ABA873,PA,2001-09-08,MICH,MEXICO,2002-03-04,1919.0
92,AIR059,VA,2001-10-05,MICH,MEXICO,2002-03-01,1913.0
93,AIR054,VA,2001-10-04,MICH,MEXICO,2002-02-11,1913.0
94,ABA822,PA,2001-09-11,MICH,MEXICO,2002-01-11,1912.0
95,AIR132,VA,2001-09-13,MICH,MEXICO,2002-03-09,1910.0
96,AIY220,VA,2001-09-22,MICH,MEXICO,2002-03-01,1909.0
97,ABJ835,VA,2001-09-22,MICH,MEXICO,2002-02-26,1905.0
98,ABJ782,VA,2001-09-13,MICH,MEXICO,2002-02-26,1905.0
99,ABJ667,VA,2001-09-12,MICH,MEXICO,2002-01-06,1905.0
100,ABJ497,VA,2001-09-06,MICH,MEXICO,2002-03-12,1905.0
101,ABJ388,VA,2001-09-04,MICH,MEXICO,2002-02-26,1905.0
102,AAH988,ONT,2001-09-09,MICH,MEXICO,2002-03-13,1903.0
103,ABX350,OH,2001-08-30,MICH,MEXICO,2002-03-03,1902.0
104,ABX291,OH,2001-08-24,MICH,MEXICO,2002-03-03,1902.0
105,ABJ675,VA,2001-09-12,MICH,MEXICO,2002-02-27,1902.0
106,ABJ492,VA,2001-09-06,MICH,MEXICO,2002-02-27,1902.0
107,ABJ415,VA,2001-09-05,MICH,MEXICO,2002-02-20,1902.0
108,AGO407,PA,2001-09-03,MICH,MEXICO,2002-03-12,1899.0
109,AGO358,PA,2001-08-30,MICH,MEXICO,2002-02-26,1896.0
110,AGN257,OH,2001-08-29,MICH,MEXICO,2002-03-03,1894.0
111,ABY425,OH,2001-09-08,MICH,MEXICO,2002-03-03,1892.0
112,ADI748,MN,2001-08-31,MICH,MEXICO,2002-03-08,1892.0
113,ABY042,OH,2001-09-09,MICH,MEXICO,2002-01-11,1890.0
114,ABX684,OH,2001-09-03,MICH,MEXICO,2002-03-13,1890.0
115,ABX647,OH,2001-09-03,MICH,MEXICO,2002-03-04,1890.0
116,ABX413,OH,2001-09-01,MICH,MEXICO,2002-03-13,1890.0
117,ABX427,OH,2001-09-01,MICH,MEXICO,2002-02-20,1890.0
118,ABY454,OH,2001-09-08,MICH,MEXICO,2002-03-12,1890.0
119,ABY471,OH,2001-09-08,MICH,MEXICO,2002-02-27,1890.0
120,ABY456,OH,2001-09-08,MICH,MEXICO,2002-02-13,1890.0
121,ABY414,OH,2001-09-07,MICH,MEXICO,2002-02-26,1890.0
122,ABY349,OH,2001-09-06,MICH,MEXICO,2002-03-13,1890.0
123,ABY304,OH,2001-09-05,MICH,MEXICO,2002-02-21,1890.0
124,ADZ288,ND,2001-08-26,MICH,MEXICO,2002-02-13,1889.0
125,ADZ282,ND,2001-08-24,MICH,MEXICO,2002-01-20,1889.0
126,ADZ235,ND,2001-08-23,MICH,MEXICO,2002-02-11,1889.0
127,ADY968,ND,2001-08-16,MICH,MEXICO,2002-02-26,1889.0
128,ADZ464,ND,2001-09-18,MICH,MEXICO,2002-02-26,1889.0
129,AGN079,OH,2001-09-19,MICH,MEXICO,2002-03-12,1885.0
130,AGN063,OH,2001-09-08,MICH,MEXICO,2002-03-06,1885.0
131,AGN363,OH,2001-09-08,MICH,MEXICO,2002-03-09,1883.0
132,AGN312,OH,2001-09-02,MICH,MEXICO,2002-03-08,1883.0
133,AGM587,OH,2001-09-08,MICH,MEXICO,2002-01-21,1882.0
134,AGM571,OH,2001-09-08,MICH,MEXICO,2002-03-13,1882.0
135,AGN348,OH,2001-09-03,MICH,MEXICO,2002-02-21,1882.0
136,AII814,VA,2001-10-07,MICH,MEXICO,2002-02-16,1882.0
137,ABY437,OH,2001-09-08,MICH,MEXICO,2002-02-20,1880.0
138,ABY115,OH,2001-08-27,MICH,MEXICO,2002-02-21,1880.0
139,AGM749,OH,2001-09-16,MICH,MEXICO,2002-02-27,1878.0
140,AGN008,OH,2001-09-10,MICH,MEXICO,2002-03-01,1878.0
141,AGN517,OH,2001-09-09,MICH,MEXICO,2002-02-27,1878.0
142,ADZ086,ND,,MICH,MEXICO,2002-02-26,1877.0
143,AFT574,OH,2001-09-07,MICH,MEXICO,2002-03-03,1875.0
144,AFI316,PA,2001-09-07,MICH,MEXICO,2002-02-26,1872.0
145,ADR865,MN,2001-08-15,MICH,MEXICO,2002-03-08,1872.0
146,AHB273,PA,2001-09-13,MICH,MEXICO,2002-03-08,1869.0
147,AHB258,PA,2001-09-12,MICH,MEXICO,2002-02-16,1869.0
148,AHB213,PA,2001-09-05,MICH,MEXICO,2002-03-12,1869.0
149,AFP497,VA,2001-08-22,MICH,MEXICO,2002-01-11,1868.0
150,ACF259,MI,2001-08-18,MICH,MEXICO,2002-01-06,1866.0
151,AHB281,PA,2001-09-18,MICH,MEXICO,2002-03-04,1865.0
152,AFQ778,WV,2001-09-10,MICH,MEXICO,2002-02-13,1864.0
153,RS185,WV,1997-09-27,MICH,MEXICO,2002-01-21,1864.0
154,ABY162,OH,2001-09-02,MICH,MEXICO,2002-01-21,1862.0
155,ABY146,OH,2001-08-31,MICH,MEXICO,2002-02-18,1862.0
156,ABJ900,OH,2001-08-21,MICH,MEXICO,2002-02-26,1862.0
157,ABX832,OH,2001-09-10,MICH,MEXICO,2002-02-28,1862.0
158,ACD905,MI,2001-09-04,MICH,MEXICO,2002-02-16,1861.0
159,AGE575,WI,2001-08-31,MICH,MEXICO,2002-02-18,1860.0
160,ACD776,MI,2001-08-23,MICH,MEXICO,2002-02-13,1858.0
161,ADR405,MN,2001-08-13,MICH,MEXICO,2002-03-03,1858.0
162,AFT886,OH,2001-09-14,MICH,MEXICO,2002-03-01,1858.0
163,ADS158,MN,2001-08-20,MICH,MEXICO,2002-02-27,1857.0
164,ADS168,MN,2001-08-20,MICH,MEXICO,2002-02-13,1857.0
165,ADS082,MN,2001-08-16,MICH,MEXICO,2002-03-12,1857.0
166,ADR999,MN,2001-08-15,MICH,MEXICO,2002-02-21,1857.0
167,ADS039,MN,2001-08-15,MICH,MEXICO,2002-02-13,1857.0
168,ACD927,MI,2001-09-14,MICH,MEXICO,2002-03-08,1857.0
169,ADR904,MN,2001-08-16,MICH,MEXICO,2002-02-26,1857.0
170,ADR847,MN,2001-08-15,MICH,MEXICO,2002-01-06,1857.0
171,ADR827,MN,2001-08-14,MICH,MEXICO,2002-02-26,1857.0
172,ADR742,MN,2001-08-13,MICH,MEXICO,2002-01-31,1857.0
173,AFT776,OH,2001-09-11,MICH,MEXICO,2002-02-26,1855.0
174,AHE229,MI,2001-09-04,MICH,MEXICO,2002-02-26,1854.0
175,AHE222,MI,2001-09-01,MICH,MEXICO,2002-02-21,1854.0
176,AHE202,MI,2001-08-23,MICH,MEXICO,2002-02-13,1854.0
177,ADS242,MN,2001-08-19,MICH,MEXICO,2002-03-03,1854.0
178,ADT483,MN,2001-08-25,MICH,MEXICO,2002-02-26,1853.0
179,ADT555,MN,2001-08-31,MICH,MEXICO,2002-02-21,1853.0
180,ADT620,MN,2001-09-11,MICH,MEXICO,2002-02-18,1853.0
181,ADT457,MN,2001-08-25,MICH,MEXICO,2002-01-21,1853.0
182,ADT419,MN,2001-08-18,MICH,MEXICO,2002-03-13,1853.0
183,ADR857,MN,2001-08-15,MICH,MEXICO,2002-02-27,1852.0
184,AFY365,MI,2001-08-28,MICH,MEXICO,2002-03-04,1850.0
185,ACD580,MI,2001-09-08,MICH,MEXICO,2002-02-26,1850.0
186,ADT448,MN,2001-08-25,MICH,MEXICO,2002-03-01,1849.0
187,ACZ875,WI,2001-09-12,MICH,MEXICO,2002-01-21,1848.0
188,ACE723,MI,2001-09-11,MICH,MEXICO,2002-03-03,1847.0
189,AFY596,MI,2001-09-16,MICH,MEXICO,2002-02-28,1844.0
