,Tag No.,report_date,Miles,Tagged_State,Tagged_Date,Reported_State,Reported_Country,Reported_Date
0,AAD929,"02-11-02 El Rosario, MICH, MX",2344.0,MA,09-12-01,MICH,MX,02-11-02
1,AAD844,"03-08-02 Sierra Chincua, MICH, MX",2343.0,MA,09-12-01,MICH,MX,03-08-02
2,AIO261,"03-13-02 El Rosario, MICH, MX",2329.0,NY,09-24-01,MICH,MX,03-13-02
3,AAU820,"02-27-02 El Rosario, MICH, MX",2315.0,NY,08-29-01,MICH,MX,02-27-02
4,ABG581,"03-13-02 El Rosario, MICH, MX",2303.0,NY,09-16-01,MICH,MX,03-13-02
5,ABG221,"02-26-02 El Rosario, MICH, MX",2303.0,NY,09-08-01,MICH,MX,02-26-02
6,ABG174,"02-20-02 El Rosario, MICH, MX",2303.0,NY,09-06-01,MICH,MX,02-20-02
7,ABG728,"03-12-02 El Rosario, MICH, MX",2303.0,NY,09-02-01,MICH,MX,03-12-02
8,ABG152,"02-21-02 El Rosario, MICH, MX",2303.0,NY,09-04-01,MICH,MX,02-21-02
9,AAE025,"01-11-02 Sierra Chincua, MICH, MX",2301.0,MA,09-08-01,MICH,MX,01-11-02
10,ABG242,"02-26-02 Sierra Chincua, MICH, MX",2299.0,NY,09-09-01,MICH,MX,02-26-02
11,ABG617,"03-03-02 Cerro Pelon, MICH, MX",2285.0,NY,09-19-01,MICH,MX,03-03-02
12,AAX153,"01-11-02 El Rosario, MICH, MX",2257.0,NY,08-21-01,MICH,MX,01-11-02
13,AAS129,"02-26-02 El Rosario, MICH, MX",2251.0,ONT,09-04-01,MICH,MX,02-26-02
14,AAS072,"02-20-02 El Rosario, MICH, MX",2251.0,ONT,09-04-01,MICH,MX,02-20-02
15,AAR862,"02-21-02 El Rosario, MICH, MX",2251.0,ONT,09-02-01,MICH,MX,02-21-02
16,AAR567,"02-28-02 El Rosario, MICH, MX",2251.0,ONT,09-01-01,MICH,MX,02-28-02
17,AAR589,"02-27-02 El Rosario, MICH, MX",2251.0,ONT,09-01-01,MICH,MX,02-27-02
18,AAR584,"02-26-02 El Rosario, MICH, MX",2251.0,ONT,09-01-01,MICH,MX,02-26-02
19,AAR744,"01-29-02 El Rosario, MICH, MX",2251.0,ONT,09-01-01,MICH,MX,01-29-02
20,MT128,"02-26-02 El Rosario, MICH, MX",2251.0,ONT,09-01-97,MICH,MX,02-26-02
21,AAS065,"03-06-02 Sierra Chincua, MICH, MX",2247.0,ONT,09-04-01,MICH,MX,03-06-02
22,AAR830,"02-26-02 Sierra Chincua, MICH, MX",2247.0,ONT,09-02-01,MICH,MX,02-26-02
23,AAR768,"02-20-02 Sierra Chincua, MICH, MX",2247.0,ONT,09-02-01,MICH,MX,02-20-02
24,AAR646,"03-06-02 Sierra Chincua, MICH, MX",2247.0,ONT,09-01-01,MICH,MX,03-06-02
25,AFG021,"02-28-02 El Rosario, MICH, MX",2219.0,CT,09-05-01,MICH,MX,02-28-02
26,AFF971,"03-06-02 Sierra Chincua, MICH, MX",2216.0,CT,09-01-01,MICH,MX,03-06-02
27,AAI814,"03-09-02 El Rosario, MICH, MX",2209.0,CT,09-15-01,MICH,MX,03-09-02
28,AAI898,"02-26-02 El Rosario, MICH, MX",2209.0,CT,09-15-01,MICH,MX,02-26-02
29,AAK352,"03-12-02 El Rosario, MICH, MX",2206.0,CT,08-21-01,MICH,MX,03-12-02
30,AAI918,"01-08-02 Sierra Chincua, MICH, MX",2205.0,CT,,MICH,MX,01-08-02
31,AAD362,"02-26-02 El Rosario, MICH, MX",2197.0,CT,09-02-01,MICH,MX,02-26-02
32,AJD392,"02-28-02 El Rosario, MICH, MX",2193.0,CT,09-20-01,MICH,MX,02-28-02
33,WK449,"01-06-02 El Rosario, MICH, MX",2193.0,CT,09-17-98,MICH,MX,01-06-02
34,AAJ592,"02-18-02 El Rosario, MICH, MX",2187.0,CT,09-12-01,MICH,MX,02-18-02
35,AAJ470,"01-20-02 El Rosario, MICH, MX",2187.0,CT,09-02-01,MICH,MX,01-20-02
36,AAS029,"03-13-02 El Rosario, MICH, MX",2151.0,ONT,09-02-01,MICH,MX,03-13-02
37,AAS041,"02-27-02 El Rosario, MICH, MX",2151.0,ONT,09-02-01,MICH,MX,02-27-02
38,582MU," El Rosario, MICH, MX",2130.0,NY,09-22-99,MICH,MX,
39,AIA547,"03-03-02 Cerro Pelon, MICH, MX",2122.0,NJ,09-19-01,MICH,MX,03-03-02
40,AAN142,"03-12-02 El Rosario, MICH, MX",2118.0,NJ,09-15-01,MICH,MX,03-12-02
41,AIA612,"03-12-02 El Rosario, MICH, MX",2109.0,NJ,09-19-01,MICH,MX,03-12-02
42,AIA387,"03-12-02 El Rosario, MICH, MX",2108.0,NJ,09-15-01,MICH,MX,03-12-02
43,AEL031,"03-04-02 El Rosario, MICH, MX",2108.0,NJ,,MICH,MX,03-04-02
44,AIA257,"03-06-02 Sierra Chincua, MICH, MX",2105.0,NJ,09-12-01,MICH,MX,03-06-02
45,ADX830,"03-19-02 Sierra Chincua, MICH, MX",2099.0,ONT,08-10-01,MICH,MX,03-19-02
46,AAH634,"01-21-02 El Rosario, MICH, MX",2063.0,ONT,09-04-01,MICH,MX,01-21-02
47,AHC542,"02-21-02 El Rosario, MICH, MX",2054.0,PA,09-10-01,MICH,MX,02-21-02
48,185KW,"02-13-02 El Rosario, MICH, MX",2053.0,ONT,09-24-01,MICH,MX,02-13-02
49,AAS632,"03-12-02 El Rosario, MICH, MX",2053.0,ONT,09-13-01,MICH,MX,03-12-02
50,AAS549,"03-04-02 El Rosario, MICH, MX",2053.0,ONT,09-13-01,MICH,MX,03-04-02
51,AAS457,"03-12-02 El Rosario, MICH, MX",2053.0,ONT,09-12-01,MICH,MX,03-12-02
52,AAS333,"03-09-02 El Rosario, MICH, MX",2053.0,ONT,09-12-01,MICH,MX,03-09-02
53,AAS321,"03-09-02 El Rosario, MICH, MX",2053.0,ONT,09-12-01,MICH,MX,03-09-02
54,AAS449,"02-20-02 El Rosario, MICH, MX",2053.0,ONT,09-12-01,MICH,MX,02-20-02
55,AAH585,"03-13-02 El Rosario, MICH, MX",2053.0,ONT,09-03-01,MICH,MX,03-13-02
56,AHB774,"03-12-02 El Rosario, MICH, MX",2053.0,PA,09-08-01,MICH,MX,03-12-02
57,262ZA,"01-21-02 El Rosario, MICH, MX",2053.0,PA,08-15-01,MICH,MX,01-21-02
58,AAS525,"03-06-02 Sierra Chincua, MICH, MX",2049.0,ONT,09-13-01,MICH,MX,03-06-02
59,AAS167,"03-06-02 Sierra Chincua, MICH, MX",2049.0,ONT,09-06-01,MICH,MX,03-06-02
60,AJP928,"03-03-02 Cerro Pelon, MICH, MX",2035.0,PA,09-22-01,MICH,MX,03-03-02
61,ADX467,"03-03-02 Cerro Pelon, MICH, MX",2032.0,ND,08-25-01,MICH,MX,03-03-02
62,AGM463,"02-18-02 El Rosario, MICH, MX",2031.0,ONT,08-28-01,MICH,MX,02-18-02
63,AGM417,"02-26-02 El Rosario, MICH, MX",2031.0,ONT,08-27-01,MICH,MX,02-26-02
64,ABE204,"02-26-02 El Rosario, MICH, MX",2029.0,PA,09-30-01,MICH,MX,02-26-02
65,AIJ705,"01-21-02 El Rosario, MICH, MX",2027.0,NJ,10-07-01,MICH,MX,01-21-02
66,AFN683,"03-06-02 Sierra Chincua, MICH, MX",2026.0,PA,08-16-01,MICH,MX,03-06-02
67,ABG047,"02-21-02 El Rosario, MICH, MX",2025.0,PA,09-25-01,MICH,MX,02-21-02
68,ABE515,"03-12-02 Sierra Chincua, MICH, MX",2024.0,PA,09-15-01,MICH,MX,03-12-02
69,AAH485,"01-24-02 El Rosario, MICH, MX",2018.0,ONT,09-01-01,MICH,MX,01-24-02
70,ADX476,"01-06-02 El Rosario, MICH, MX",2016.0,ND,08-26-01,MICH,MX,01-06-02
71,ABE763,"01-20-02 El Rosario, MICH, MX",2009.0,PA,10-03-01,MICH,MX,01-20-02
72,AAI039,"03-12-02 El Rosario, MICH, MX",2006.0,ONT,09-12-01,MICH,MX,03-12-02
73,ACF882,"03-06-02 Sierra Chincua, MICH, MX",1999.0,MI,08-26-01,MICH,MX,03-06-02
74,ACG114,"02-27-02 El Rosario, MICH, MX",1995.0,MI,08-16-01,MICH,MX,02-27-02
75,ACG115,"02-18-02 El Rosario, MICH, MX",1995.0,MI,08-16-01,MICH,MX,02-18-02
76,AAY137,"01-21-02 El Rosario, MICH, MX",1993.0,NY,09-04-01,MICH,MX,01-21-02
77,ABD123,"02-26-02 El Rosario, MICH, MX",1987.0,PA,09-08-01,MICH,MX,02-26-02
78,GH274,"01-06-02 El Rosario, MICH, MX",1966.0,MI,08-31-01,MICH,MX,01-06-02
79,ACG309,"02-27-02 Sierra Chincua, MICH, MX",1962.0,MI,08-13-01,MICH,MX,02-27-02
80,ABI284,"03-01-02 El Rosario, MICH, MX",1959.0,VA,10-09-01,MICH,MX,03-01-02
81,AHC814,"02-26-02 El Rosario, MICH, MX",1951.0,MD,09-25-01,MICH,MX,02-26-02
82,AHC954,"03-04-02 Sierra Chincua, MICH, MX",1951.0,MD,09-05-01,MICH,MX,03-04-02
83,AIL755,"02-26-02 El Rosario, MICH, MX",1950.0,MD,09-16-01,MICH,MX,02-26-02
84,ABI566,"03-04-02 El Rosario, MICH, MX",1926.0,MD,09-26-01,MICH,MX,03-04-02
85,AIY200,"02-21-02 El Rosario, MICH, MX",1926.0,MD,09-21-01,MICH,MX,02-21-02
86,ABI420,"01-20-02 El Rosario, MICH, MX",1925.0,MD,09-12-01,MICH,MX,01-20-02
87,AIY240,"02-20-02 Sierra Chincua, MICH, MX",1923.0,MD,09-22-01,MICH,MX,02-20-02
88,ABI385,"02-27-02 Sierra Chincua, MICH, MX",1921.0,MD,09-09-01,MICH,MX,02-27-02
89,ABK225,"03-06-02 Sierra Chincua, MICH, MX",1920.0,DC,09-19-01,MICH,MX,03-06-02
90,ABA879,"02-26-02 El Rosario, MICH, MX",1919.0,PA,09-09-01,MICH,MX,02-26-02
91,ABA873,"03-04-02 El Rosario, MICH, MX",1919.0,PA,09-08-01,MICH,MX,03-04-02
92,AIR059,"03-01-02 El Rosario, MICH, MX",1913.0,VA,10-05-01,MICH,MX,03-01-02
93,AIR054,"02-11-02 El Rosario, MICH, MX",1913.0,VA,10-04-01,MICH,MX,02-11-02
94,ABA822,"01-11-02 El Rosario, MICH, MX",1912.0,PA,09-11-01,MICH,MX,01-11-02
95,AIR132,"03-09-02 El Rosario, MICH, MX",1910.0,VA,09-13-01,MICH,MX,03-09-02
96,AIY220,"03-01-02 Sierra Chincua, MICH, MX",1909.0,VA,09-22-01,MICH,MX,03-01-02
97,ABJ835,"02-26-02 El Rosario, MICH, MX",1905.0,VA,09-22-01,MICH,MX,02-26-02
